loan_id,borrower_id,charge_off_date,balance_at_charge_off,dpd_at_charge_off,charge_off_reason,placed_with_recovery_agency,recovery_amount_to_date
SL102334,BOR201946,2025-12-01,11216.22,195,Delinquency,No,0.0
SL101530,BOR201597,2024-04-01,11176.65,195,Delinquency,Yes,4204.02
SL101906,BOR201980,2025-07-01,9409.23,195,Delinquency,No,2464.32
SL101634,BOR200619,2025-09-01,3104.7,195,Delinquency,Yes,706.99
SL101129,BOR200266,2025-02-01,15199.86,195,Delinquency,No,2552.02
SL100203,BOR200601,2023-07-01,15039.19,195,Delinquency,Yes,3137.86
SL100242,BOR201385,2025-03-01,5475.42,195,Delinquency,Yes,808.88
SL101599,BOR200109,2024-12-01,11121.39,195,Delinquency,No,2759.13
SL101166,BOR201467,2026-02-01,19517.65,195,Fraud,Yes,1769.82
SL100412,BOR201862,2024-04-01,7616.4,195,Delinquency,Yes,2913.55
SL101838,BOR200459,2025-01-01,14981.7,195,Delinquency,No,4181.6
SL101309,BOR200114,2025-01-01,46167.4,195,Bankruptcy,No,7438.52
SL101700,BOR201474,2022-03-01,7385.78,195,Delinquency,No,4735.99
SL100584,BOR201090,2024-07-01,6421.2,195,Bankruptcy,No,2805.51
SL100796,BOR200756,2025-03-01,12532.66,195,Delinquency,Yes,4289.72
SL102137,BOR202256,2024-02-01,18134.47,195,Delinquency,No,8303.32
SL100800,BOR200393,2025-12-01,8906.88,195,Delinquency,No,1349.81
SL100948,BOR200056,2024-01-01,15653.79,195,Delinquency,No,1990.1
SL102248,BOR200008,2026-02-01,6217.11,195,Fraud,No,984.21
SL102247,BOR201599,12/01/2021,12136.69,195,Bankruptcy,Yes,8311.13
SL101612,BOR201905,2024-12-01,20740.79,195,Delinquency,Yes,4066.01
SL102005,BOR201425,04/01/2023,10459.87,195,Bankruptcy,Yes,7526.48
SL102325,BOR201276,2026-04-01,6605.83,195,Bankruptcy,Yes,599.34
SL100056,BOR202045,2025-11-01,55089.25,195,Delinquency,Yes,13031.79
SL102208,BOR201087,2024-06-01,7076.56,195,Delinquency,Yes,2966.11
SL101626,BOR201675,2025-07-01,22565.0,195,Delinquency,Yes,0.0
SL102045,BOR201651,2026-05-01,13147.03,195,Delinquency,Yes,0.0
SL102305,BOR200128,2023-08-01,10502.62,195,Delinquency,Yes,5086.42
SL100785,BOR201744,2024-03-01,17739.49,195,,Yes,6128.76
SL100124,BOR200099,2025-11-01,7948.66,195,Delinquency,Yes,0.0
SL101756,BOR201301,2026-01-01,23591.57,195,Delinquency,Yes,5833.53
SL100434,BOR200173,2025-04-01,10638.78,195,Delinquency,Yes,3371.57
SL101050,BOR201129,2025-09-01,5491.04,195,Delinquency,No,1781.79
SL101359,BOR200311,2025-01-01,17729.21,195,Delinquency,Yes,6955.03
SL100071,BOR200374,2024-05-01,17889.58,195,Delinquency,No,4923.61
SL100405,BOR201650,2024-12-01,4155.11,195,Delinquency,Yes,980.93
SL100896,BOR201463,2025-07-01,17858.78,195,Delinquency,Yes,2150.17
SL101789,BOR201977,2025-03-01,11964.13,195,Delinquency,Yes,2706.97
SL102490,BOR200596,2024-05-01,14676.27,195,,No,6927.31
SL101951,BOR200450,2024-02-01,14918.62,195,Delinquency,Yes,5124.59
SL102464,BOR200418,2026-03-01,17578.07,195,Delinquency,Yes,0.0
SL100429,BOR200218,2026-02-01,8375.81,195,Delinquency,Yes,1398.41
SL101756,BOR201301,2026-01-01,23591.57,195,Delinquency,Yes,5833.53
SL100342,BOR201291,2025-07-01,8123.58,195,Delinquency,Yes,2091.91
SL100337,BOR201490,2023-08-01,12398.15,195,Fraud,Yes,5394.99
SL101650,BOR200443,2025-11-01,5352.87,195,Delinquency,Yes,1948.11
SL100512,BOR202038,2025-01-01,11011.53,195,Deceased,Yes,0.0
SL101562,BOR202219,2024-12-01,7792.35,195,Deceased,No,1129.35
SL100406,BOR201712,2023-06-01,21916.19,195,Delinquency,Yes,1340.5
SL102367,BOR201858,2024-10-01,7879.47,195,Delinquency,Yes,0.0
SL101799,BOR200638,2025-09-01,29300.07,195,Delinquency,Yes,0.0
SL100993,BOR200319,2024-01-01,15345.96,195,Delinquency,No,8470.78
SL100432,BOR200829,2026-05-01,2476.71,195,Bankruptcy,Yes,0.0
SL100621,BOR201812,2026-08-01,16377.59,195,Delinquency,No,0.0
SL100346,BOR200788,2023-01-01,30041.81,195,Delinquency,Yes,18120.09
SL100674,BOR202237,02/01/2024,17325.17,195,Delinquency,Yes,7629.28
SL101173,BOR200759,2022-11-01,16400.97,195,Delinquency,No,7785.92
SL100282,BOR201265,2023-11-01,10991.11,195,Delinquency,Yes,6685.09
SL101948,BOR200687,2023-12-01,9614.75,195,Delinquency,No,4291.97
