loan_id,borrower_id,month_end_date,repayment_type,current_balance,delinquency_bucket,dpd,payment_amount,loan_status,state,original_balance,origination_date
SL100500,BOR201882,2024-02-01,PI,3936.66,Current,0.0,101.44,Active,OK,7351.94,2019-05-05
SL101440,BOR201485,2025-11-01,IO,14743.19,Current,0.0,191.02,Active,NC,20744.5,2022-10-11
SL100197,BOR202016,2025-07-01,PI,4858.15,Current,0.0,98.41,Active,LA,7347.89,2019-10-01
SL102412,BOR200864,2022-10-01,PI,8342.13,Current,0.0,168.01,Active,TN,11485.81,2021-02-15
SL100938,BOR201804,2023-03-01,PI,3115.69,Current,0.0,110.04,Active,SC,5852.38,2020-06-20
SL100800,BOR200393,2022-09-01,FP,9452.11,Current,0.0,25.0,Active,NJ,9577.11,2022-04-16
SL102456,BOR201881,2023-11-01,PI,4437.65,Current,0.0,232.4,Active,LA,12339.25,2018-11-09
SL101237,BOR201186,2026-06-01,PI,18622.12,Current,0.0,497.7,Active,SC,39440.9,2021-02-10
SL100659,BOR201088,2026-09-01,PI,3727.76,Current,0.0,722.64,Active,IL,38705.08,2019-08-10
SL100425,BOR202066,2026-06-01,PI,2660.39,current,0.0,75.25,Active,VA,5269.79,2020-12-31
SL101206,BOR201850,2023-02-01,PI,12540.95,Current,0.0,187.61,Active,NC,14995.14,2019-08-08
SL101193,BOR201149,2023-11-01,FP,13372.34,Current,0.0,25.0,Active,AZ,13572.34,2023-03-01
SL100877,BOR202277,2025-09-01,PI,4843.15,Current,0.0,65.38,Active,TN,5964.37,2023-03-31
SL101378,BOR200680,2023-10-01,FP,10521.53,Current,0.0,25.0,Active,AZ,10791.86,2022-08-08
SL101892,BOR200892,2024-11-01,PI,17207.33,Current,0.0,270.99,Active,PA,17248.12,2022-04-18
SL102053,BOR200695,2024-10-01,FD,13931.58,Current,0.0,0.0,Active,MD,13754.05,2024-08-28
SL100018,BOR200583,2025-12-01,FD,15106.78,Current,0.0,0.0,Active,PA,14294.4,2025-04-06
SL102260,BOR200060,2023-03-01,PI,8712.8,Current,0.0,117.49,Active,OK,11212.6,2019-09-12
SL101668,BOR201911,2025-06-01,PI,4954.01,Current,0.0,117.11,Active,CT,6764.37,2023-10-21
SL100966,BOR200773,2023-12-01,FP,8836.19,Current,0.0,25.0,Active,SC,8861.19,2023-11-16
SL101575,BOR202047,2024-02-01,FD,13424.36,Current,0.0,0.0,Active,PA,11549.03,2020-12-16
SL101599,BOR200109,2024-02-01,PI,10229.35,60-89 DPD,75.0,0.0,Active,AZ,20595.5,2020-12-12
SL100931,BOR200132,2022-07-01,PI,22076.92,Current,0.0,252.98,Active,MA,26202.63,2018-09-18
SL100172,BOR202272,10/01/2023,PI,8580.61,Current,0.0,162.64,Active,NC,13016.11,2018-11-18
SL101757,BOR200741,2022-11-01,FD,29393.58,Current,0.0,0.0,Active,MD,25675.21,2019-12-17
SL101649,BOR202150,2023-10-01,PI,12732.07,Current,0.0,237.35,Active,SC,14968.54,2019-08-08
SL101056,BOR201478,2024-08-01,FP,8845.26,Current,0.0,25.0,Active,KY,8970.26,2024-03-19
SL102011,BOR201594,2025-10-01,PI,8339.92,Current,0.0,81.35,Active,SC,9268.13,2024-09-19
SL101382,BOR201604,2025-06-01,PI,9548.14,Current,0.0,218.34,Active,NY,14569.96,2023-07-26
SL100754,BOR200337,2025-02-01,PI,20431.7,Current,0.0,201.89,Active,CT,20649.46,2021-10-01
SL100203,BOR200601,2023-08-01,PI,15039.19,Charged-Off,,0.0,Charged Off,CT,14691.51,2020-11-14
SL100361,BOR201320,2023-07-01,PI,4685.66,Current,0.0,58.59,Active,NC,5603.61,2019-08-20
SL100836,BOR201709,2025-06-01,FD,15936.35,Current,0.0,0.0,Active,UT,12451.61,2022-07-01
SL100900,BOR201581,2023-08-01,FP,9477.44,Current,0.0,25.0,Active,LA,9702.44,2022-11-14
SL102082,BOR201766,2023-06-01,FD,6489.28,Current,0.0,0.0,Active,PA,5678.01,2021-10-02
SL101570,BOR201562,2026-08-01,PI,7176.14,Current,0.0,166.03,Active,CA,14550.08,2021-06-04
SL100459,BOR201510,2023-03-01,FP,10752.05,Current,0.0,25.0,Active,MI,11127.05,2021-12-07
SL101395,BOR201707,2021-02-01,FD,11320.3,Current,0.0,0.0,Active,WA,11251.39,2020-02-21
SL102217,BOR200162,2026-03-01,PI,9457.34,Current,0.0,140.92,Active,NJ,12573.18,2021-10-08
SL100643,BOR200865,2025-09-01,PI,9410.06,Current,0.0,416.73,Active,NY,31520.98,2019-05-23
SL101890,BOR200059,2023-06-01,PI,5539.34,Current,0.0,177.54,Active,MA,10688.0,2019-12-12
SL101091,BOR201004,2025-05-01,PI,921.54,Current,0.0,457.03,Active,PA,23152.33,2020-04-26
SL100227,BOR202282,2021-09-01,,17927.39,Current,0.0,25.0,Active,GA,18127.39,2019-02-18
SL100861,BOR200838,2024-03-01,PI,3177.61,Current,0.0,407.18,Active,MN,18650.45,2019-07-04
SL101901,BOR201504,2026-03-01,PI,4874.15,current,0.0,62.06,Active,WA,5152.89,2023-11-20
SL101858,BOR200433,2025-10-01,PI,3319.36,Current,0.0,263.96,Active,GA,15989.44,2021-10-27
SL100003,BOR202257,2022-02-01,FP,14996.88,Current,0.0,25.0,Active,MA,15046.88,2021-12-16
SL101758,BOR200887,2026-01-01,PI,6757.64,Current,0.0,223.5,Active,FL,10957.85,2022-09-20
SL100421,BOR201151,2026-01-01,PI,2576.44,Current,0.0,220.69,Active,WA,11047.6,2019-10-27
SL101367,BOR200841,2022-02-01,PI,8430.11,Current,0.0,183.92,Active,GA,10821.07,2020-07-22
SL101107,BOR201757,2022-03-01,PI,15556.87,Current,0.0,255.0,Active,OR,16945.09,2021-04-16
SL100020,BOR200504,2021-07-01,FD,8289.17,Current,0.0,0.0,Active,MA,8222.77,2021-06-14
SL101021,BOR202171,2024-06-01,FP,27552.17,Current,0.0,25.0,Active,KY,27395.07,2024-03-01
SL102207,BOR201621,2026-05-01,FD,34996.25,Current,0.0,0.0,Active,CA,30540.05,2024-09-30
SL101223,BOR200632,2024-05-01,IO,13282.58,Current,0.0,88.52,Active,LA,14433.34,2023-04-10
SL100273,BOR202203,2022-01-01,PI,10958.76,Current,0.0,94.22,Active,OK,12089.4,2019-05-20
SL102452,BOR200322,2026-09-01,PI,8904.35,Current,0.0,163.01,Active,IL,15135.15,2022-05-28
SL101404,BOR200935,2025-02-01,PI,6779.52,1-29 DPD,15.0,0.0,Active,NY,7216.29,2024-07-10
SL101443,BOR201275,2025-05-01,PI,19657.98,Current,0.0,253.24,Active,GA,25188.64,2019-08-01
SL100634,BOR201676,2023-03-01,PI,13267.53,Current,0.0,573.55,Active,OH,28179.83,2018-06-10
SL102253,BOR200875,2026-02-01,PI,10110.63,Current,0.0,111.51,Active,CA,11542.25,2022-12-03
SL101889,BOR200796,2021-03-01,PI,14665.47,Current,0.0,334.4, Active  ,TX,15334.27,2019-12-13
SL100020,BOR200504,2021-10-01,FD,8491.61,Current,0.0,0.0,Active,MA,8222.77,2021-06-14
SL101099,BOR201783,2022-12-01,IO,9752.54,Current,0.0,79.18,Active,WI,11177.78,2021-06-13
SL100063,BOR200927,2026-08-01,FD,11394.94,Current,0.0,0.0,Active,MD,9726.63,2025-02-06
SL102493,BOR200419,2026-01-01,PI,6134.85,Current,0.0,66.87,Active,CA,7271.64,2024-08-20
SL102117,BOR201432,2021-11-01,FD,10258.94,Current,0.0,0.0,Active,WI,9833.03,2021-06-27
SL100333,BOR201121,2024-03-01,FP,11340.37,Current,0.0,25.0,Active,AZ,11390.37,2024-01-01
SL100387,BOR201109,2025-06-01,FD,12430.82,Current,0.0,0.0,Active,MD,10143.9,2023-03-07
SL100926,BOR201906,2023-11-01,PI,36809.25,Current,0.0,502.47,Active,MO,29627.03,2021-03-16
SL101319,BOR200888,2023-01-01,PI,9476.6,Current,0.0,102.47,Active,UT,11935.88,2019-03-16
SL101051,BOR200763,2023-02-01,PI,10493.26,Current,0.0,118.52,Active,WI,13080.24,2019-02-13
SL100335,BOR200115,2022-09-01,FD,16089.68,current,0.0,0.0,Active,IL,14639.68,2020-02-11
SL100544,BOR200037,2025-02-01,PI,23613.18,Current,0.0,175.78,Active,OR,21004.88,2022-04-26
SL102218,BOR201008,2025-01-01,PI,5223.37,Current,0.0,96.03,Active,OH,8365.9,2019-08-05
SL100071,BOR200374,2024-07-01,PI,17889.58,Charged-Off,,0.0,Charged Off,GA,18660.85,2020-08-04
SL101027,BOR200053,2025-04-01,PI,13229.95,Current,0.0,127.65,Active,MO,16227.7,2020-02-26
SL102472,BOR200026,2025-07-01,PI,13256.62,Current,0.0,281.33,Active,TN,19013.41,2023-02-23
SL100156,BOR201636,2023-07-01,FP,16377.32,1-29 DPD,15.0,0.0,Active,TX,16332.18,2023-02-27
SL100589,BOR200527,2024-11-01,PI,5522.66,Current,0.0,114.95,Active,TN,8038.97,2019-01-29
SL100859,BOR201933,2024-12-01,PI,2143.71,Current,0.0,73.96,Active,KY,5512.96,2020-10-19
SL102355,BOR200661,2025-09-01,FD,14729.46,Current,0.0,0.0,Active,OR,14300.75,2025-04-13
SL101191,BOR201761,2026-03-01,PI,10787.81,Current,0.0,98.96, Active  ,WI,9104.81,2020-11-24
SL100103,BOR200168,2021-03-01,FD,9074.23,Current,0.0,0.0,Active,AZ,8973.59,2020-12-22
SL101710,BOR200572,2021-09-01,FP,30842.48,Current,0.0,25.0,Active,GA,30700.33,2020-09-19
SL102271,BOR200636,2025-08-01,PI,4840.34,Current,0.0,100.92,Active,CO,7865.63,2022-08-23
SL101409,BOR200559,2024-01-01,PI,9243.03,Current,0.0,78.01,Active,CO,9711.09,2023-07-18
SL100680,BOR200373,2025-08-01,PI,3201.04,Current,0.0,52.9,Active,NJ,5863.65,2018-10-11
SL102375,BOR200469,2022-05-01,IO,8486.8,Current,0.0,61.65,Active,OK,9473.2,2020-08-14
SL101448,BOR200846,2023-11-01,PI,4456.06,Current,0.0,92.72,Active,WI,6681.34,2021-11-17
SL100235,BOR201050,2024-04-01,FP,8245.35,current,0.0,25.0,Active,AL,8202.82,2022-05-17
SL101490,BOR201833,2023-02-01,FD,11426.03,Current,0.0,0.0,Active,MD,9751.68,2020-11-09
SL101352,BOR201640,2023-09-01,PI,7279.18,Current,0.0,155.51,Active,AL,11601.63,2021-02-14
SL101458,BOR202228,2025-06-01,FP,9042.45,Current,0.0,25.0,Active,OH,8978.07,2023-11-17
SL100559,BOR201488,2024-02-01,PI,5979.96,Current,0.0,108.4,Active,IN,9380.92,2020-06-26
SL100988,BOR200581,2025-08-01,PI,6589.08,Current,0.0,120.69,Active,MO,10185.16,2018-07-09
SL101957,BOR201283,2025-10-01,PI,8271.21,current,0.0,192.59,Active,NC,11282.57,2020-04-20
SL102107,BOR201143,2025-07-01,PI,9494.71,Current,0.0,228.19,Active,WA,11648.72,2021-04-13
SL101332,BOR202089,2025-03-01,PI,9746.39,Current,0.0,128.47,Active,MI,11442.1,2023-04-22
SL101577,BOR200625,2024-07-01,FP,22931.74,Current,0.0,25.0,Active,VA,23206.74,2023-08-17
SL100487,BOR201622,2023-09-01,PI,17761.14,Current,0.0,276.94,Active,IL,22202.43,2019-07-06
SL100587,BOR201661,2025-01-01,FD,20092.42,Current,0.0,0.0,Active,WA,19127.83,2024-07-30
SL101259,BOR200604,2025-11-01,PI,13055.91,Current,0.0,120.41,Active,NY,13945.91,2025-02-13
SL101810,BOR201243,2022-04-01,IO,14109.81,Current,0.0,76.68,Active,OK,15260.01,2018-10-26
SL100610,BOR201382,2024-09-01,FD,8595.24,Current,0.0,0.0,Active,OH,8351.39,2024-03-07
SL101096,BOR201153,2025-04-01,FD,12032.97,Current,0.0,0.0,Active,NJ,10755.01,2023-06-15
SL102135,BOR200969,2021-10-01,PI,10183.09,Current,0.0,149.71,Active,OR,11530.48,2020-08-26
SL101864,BOR200945,2026-03-01,PI,10674.71,120-149 DPD,135.0,0.0,Active,MN,30201.21,2018-12-18
SL102186,BOR201239,2021-04-01,PI,10990.95,Current,0.0,194.17,Active,CA,11573.46,2019-02-22
SL101751,BOR202238,2023-04-01,FD,13305.93,Current,0.0,0.0,Active,SC,11997.33,2018-10-21
SL100705,BOR200196,2025-02-01,PI,320.77,Current,0.0,168.35,Active,NY,7943.44,2019-08-15
SL100062,BOR201025,2024-04-01,PI,5562.05,Current,0.0,126.89,Active,MI,9268.49,2019-07-28
SL100468,BOR201608,2022-10-01,FD,19088.44,Current,0.0,0.0,Active,TN,17534.34,2021-11-24
SL101566,BOR202296,2023-02-01,PI,8328.3,Current,0.0,300.28,Active,MN,15835.3,2019-08-01
SL102492,BOR202233,2023-02-01,PI,11081.86,Current,0.0,229.65,Active,MD,16823.11,2020-11-19
SL102115,BOR200932,2021-12-01,FP,7621.31,Current,0.0,25.0,Active,UT,7896.31,2020-09-10
SL101818,BOR200446,2023-01-01,PI,10474.26,Current,0.0,178.12,Active,SC,11105.69,2022-08-02
SL101100,BOR201959,2021-09-01,FP,12707.03,Current,0.0,25.0,Active,TX,12907.03,2020-06-26
SL101022,BOR200719,2024-05-01,PI,14874.6,Current,0.0,187.83,Active,NY,17499.35,2019-07-09
SL101895,BOR200999,2024-07-01,FD,9725.96,current,0.0,0.0,Active,AZ,7913.22,2022-08-16
SL102285,BOR201683,2025-11-01,PI,16219.61,Current,0.0,175.03,Active,NC,14239.13,2020-03-11
SL100361,BOR201320,2023-08-01,PI,4627.07,Current,0.0,58.59,Active,NC,5603.61,2019-08-20
SL101544,BOR201666,2024-08-01,PI,6808.69,Current,0.0,82.71,Active,MN,7994.84,2023-04-17
SL102237,BOR200239,2024-05-01,PI,7941.9,Current,0.0,118.83,Active,OR,8723.26,2020-07-10
SL100503,BOR201708,2023-05-01,PI,9921.9,Current,0.0,96.49,Active,MN,12193.31,2020-05-16
SL101893,BOR200558,2025-11-01,PI,3503.62,30-59 DPD,45.0,0.0,Active,UT,6291.63,2020-06-07
SL101973,BOR202273,2026-04-01,PI,23538.98,Current,0.0,317.93,Active,LA,23415.89,2020-08-28
SL101988,BOR200649,2024-02-01,PI,9777.25,current,0.0,318.05,Active,LA,15087.71,2019-12-04
SL102208,BOR201087,2026-03-01,PI,4847.4,Charged-Off,,0.0,Charged Off,AZ,7337.19,2020-06-13
SL101233,BOR201244,2023-11-01,PI,8692.31,Current,0.0,104.24,Active,OK,11251.83,2019-09-25
SL100396,BOR201176,2023-11-01,PI,13553.44,Current,0.0,266.47,Active,NJ,21326.03,2020-01-27
SL100676,BOR201528,2026-04-01,PI,11981.78,Current,0.0,210.75,Active,WI,17339.84,2021-05-10
SL101864,BOR200945,09/01/2021,PI,26718.97,Current,0.0,435.28,Active,MN,30201.21,2018-12-18
SL102295,BOR201936,2024-02-01,IO,9786.97,Current,0.0,78.59,Active,FL,10965.82,2022-11-04
SL101234,BOR200184,2022-07-01,PI,3102.94,Current,0.0,67.79,Active,IL,4323.16,2019-02-25
SL100051,BOR202270,2026-03-01,PI,5666.84,1-29 DPD,15.0,0.0,Active,NJ,9500.52,2019-03-11
