transaction_id,payment_id,loan_id,borrower_id,transaction_date,posting_date,transaction_code,payment_type,payment_amount,payment_method,reversal_reason
TXN914884,PMT514884,SL100367,BOR200436,2022-06-17,2022-06-17,PMT,Payment,182.16,ACH Auto-Debit,
TXN919274,PMT519274,SL100477,BOR202224,2024-11-29,2024-12-01,PMT,Payment,124.59,Manual - Web,
TXN983840,PMT583840,SL102020,BOR201343,2025-05-16,2025-05-16,PMT,Payment,275.78,ACH Auto-Debit,
TXN933523,PMT533523,SL100806,BOR200872,2021-06-14,2021-06-16,PMT,Payment,47.01,Payroll Deduct,
TXN937814,PMT537814,SL100914,BOR202074,2023-03-26,2023-03-26,PMT,Payment,161.29,,
TXN911835,PMT511835,SL100289,BOR200800,2026-02-26,2026-02-28,PMT,Payment,161.93,ACH Auto-Debit,
TXN995422,PMT595422,SL102310,BOR200029,2025-03-08,2025-03-08,PMT,Payment,51.64,Check,
TXN952027,PMT552027,SL101248,BOR201810,2026-01-22,2026-01-23,PMT,Payment,186.59,ACH Auto-Debit,
TXN956679,PMT556679,SL101351,BOR200901,2024-03-22,2024-03-24,PMT,Payment,117.81,ACH Auto-Debit,
TXN955435,PMT555435,SL101325,BOR201836,2022-06-14,2022-06-16,PMT,Payment,84.86,ACH Auto-Debit,
TXN992804,PMT592803,SL102246,BOR201086,2026-03-18,2026-03-19,REV,Reversal,-78.98,Manual - Web,NSF - Insufficient Funds
TXN943648,PMT543648,SL101049,BOR201526,2025-03-05,2025-03-06,PMT,Payment,166.21,ACH Auto-Debit,
TXN951190,PMT551190,SL101229,BOR200411,2026-03-18,2026-03-18,PMT,Payment,121.26,Manual - Web,
TXN914390,PMT514390,SL100354,BOR201298,2021-10-07,2021-10-09,PMT,Payment,25.0,ACH Auto-Debit,
TXN978892,PMT578892,SL101897,BOR201838,2025-07-05,2025-07-05,PMT,Payment,365.57,ACH Auto-Debit,
TXN922871,PMT522871,SL100563,BOR201114,2025-08-10,2025-08-10,PMT,Payment,153.81,Manual - Phone,
TXN906899,PMT506899,SL100163,BOR201183,2026-08-08,2026-08-10,PMT,Payment,266.97,Manual - Web,
TXN911821,PMT511821,SL100289,BOR200800,2024-12-11,2024-12-12,PMT,Payment,161.93,ACH Auto-Debit,
TXN990621,PMT590621,SL102192,BOR200281,2024-07-22,2024-07-22,PMT,Payment,135.99,ACH Auto-Debit,
TXN953465,PMT553465,SL101282,BOR202036,2023-10-27,2023-10-29,PMT,Payment,152.66,ACH Auto-Debit,
TXN977260,PMT577260,SL101856,BOR200694,2021-05-14,2021-05-14,PMT,Payment,157.16,Manual - Phone,
TXN920512,PMT520512,SL100502,BOR201286,2026-03-26,2026-03-28,PMT,Payment,190.57,ACH Auto-Debit,
TXN905610,RFD605610,SL100134,BOR200029,2023-04-27,2023-04-27,REFUND,Refund,-35.6,ACH Auto-Debit,
TXN991563,PMT591563,SL102218,BOR201008,2024-12-21,2024-12-23,PMT,Payment,96.03,Manual - Web,
TXN925867,PMT525867,SL100638,BOR200227,2022-03-05,2022-03-05,PMT,Payment,276.08,ACH Auto-Debit,
TXN911443,PMT511443,SL100279,BOR200352,2024-03-07,2024-03-09,PMT,Payment,68.68,ACH Auto-Debit,
TXN995663,PMT595663,SL102316,BOR200262,2026-04-27,2026-04-27,PMT,Payment,25.0,Manual - Phone,
TXN952038,PMT552038,SL101249,BOR200471,2021-04-16,2021-04-18,PMT,Payment,77.16,Check,
TXN994393,PMT594393,SL102281,BOR200248,2026-06-17,2026-06-18,PMT,Payment,82.27,ACH Auto-Debit,
TXN906503,PMT506503,SL100153,BOR200004,2024-12-06,2024-12-08,PMT,Payment,172.81,ACH Auto-Debit,
